x,time
98.000000,4802286837531.000000
98.000000,4803354687478.000000
98.000000,4804220878989.000000
99.000000,4805283315238.000000
101.000000,4806189263259.000000
102.000000,4807256955446.000000
103.000000,4808220047789.000000
105.000000,4809241117372.000000
106.000000,4810317698101.000000
106.000000,4811219133100.000000
106.000000,4812317354663.000000
106.000000,4813256975652.000000
106.000000,4814186611953.000000
106.000000,4815319179297.000000
106.000000,4816185657161.000000
107.000000,4817319209192.000000
106.000000,4818248350910.000000
107.000000,4819283850910.000000
107.000000,4820285491691.000000
107.000000,4821334092940.000000
107.000000,4822318822211.000000
107.000000,4823221877419.000000
107.000000,4824230069970.000000
106.000000,4826165810491.000000
106.000000,4827165751740.000000
106.000000,4828138508302.000000
106.000000,4829108143875.000000
106.000000,4830239294708.000000
106.000000,4831203040853.000000
105.000000,4832137013353.000000
104.000000,4833202517155.000000
105.000000,4834103683769.000000
106.000000,4835104987362.000000
106.000000,4836172918924.000000
105.000000,4837185654080.000000
107.000000,4838237137726.000000
108.000000,4839126179809.000000
109.000000,4840203539183.000000
110.000000,4841207081787.000000
111.000000,4842287068870.000000
111.000000,4843103758192.000000
110.000000,4844165506786.000000
111.000000,4845235290587.000000
110.000000,4846219669910.000000
110.000000,4847202282462.000000
111.000000,4848267010065.000000
111.000000,4849134178451.000000
111.000000,4850171568450.000000
110.000000,4851166400794.000000
111.000000,4852142134856.000000
111.000000,4853137780272.000000
111.000000,4854104814595.000000
111.000000,4855237735844.000000
111.000000,4856202386312.000000
111.000000,4857168304281.000000
111.000000,4858346295478.000000
111.000000,4859199192874.000000
110.000000,4860167477457.000000
110.000000,4861337110269.000000
110.000000,4862233850737.000000
109.000000,4863242196206.000000
109.000000,4864136804747.000000
108.000000,4865139055944.000000
108.000000,4866267228288.000000
108.000000,4867203943340.000000
108.000000,4868200469277.000000
108.000000,4869236214485.000000
108.000000,4870265501307.000000
108.000000,4871202891775.000000
105.000000,4873067405473.000000
104.000000,4874159110368.000000
104.000000,4875158878389.000000
103.000000,4876232998909.000000
103.000000,4877171717242.000000
102.000000,4878132958752.000000
102.000000,4879235216929.000000
101.000000,4880104011251.000000
101.000000,4881199189584.000000
101.000000,4882098398855.000000
101.000000,4883196317031.000000
101.000000,4884232993125.000000
101.000000,4885201822864.000000
102.000000,4886236869166.000000
102.000000,4887197642811.000000
102.000000,4888164338123.000000
102.000000,4889232647289.000000
103.000000,4890163956560.000000
102.000000,4891162494632.000000
102.000000,4892102346195.000000
102.000000,4893098140100.000000
102.000000,4894130083590.000000
102.000000,4895101680360.000000
103.000000,4896161418016.000000
103.000000,4897265470828.000000
102.000000,4898133116713.000000
102.000000,4900011314889.000000
102.000000,4901148402910.000000
102.000000,4902086500722.000000
102.000000,4903093760097.000000
101.000000,4904094390878.000000
100.000000,4905124591398.000000
101.000000,4906203288325.000000
100.000000,4907092683481.000000
100.000000,4908057121449.000000
101.000000,4909123987594.000000
102.000000,4910128302021.000000
104.000000,4911146635979.000000
105.000000,4912156021604.000000
105.000000,4913159571707.000000
105.000000,4914058909155.000000
105.000000,4915152706082.000000
105.000000,4916088728060.000000
106.000000,4917164746133.000000
108.000000,4921154933006.000000
110.000000,4922243851131.000000
110.000000,4923188093631.000000
110.000000,4924090434203.000000
110.000000,4925091828630.000000
110.000000,4926154445765.000000
110.000000,4927187508994.000000
110.000000,4928187210868.000000
110.000000,4929094192587.000000
110.000000,4931039934096.000000
110.000000,4932109351908.000000
110.000000,4933113588262.000000
110.000000,4934082929824.000000
110.000000,4935115708991.000000
110.000000,4936047883469.000000
110.000000,4937018946698.000000
109.000000,4938084108156.000000
109.000000,4939047807583.000000
110.000000,4940048476437.000000
110.000000,4941082150134.000000
110.000000,4942131490030.000000
111.000000,4943013023519.000000
112.000000,4944046730394.000000
112.000000,4945080147216.000000
113.000000,4946044287112.000000
113.000000,4947049006538.000000
113.000000,4948081630236.000000
114.000000,4949049679506.000000
114.000000,4950087271277.000000
114.000000,4951052365651.000000
114.000000,4952146272318.000000
114.000000,4953077280286.000000
114.000000,4954211652838.000000
114.000000,4955048746952.000000
113.000000,4956014870858.000000
113.000000,4957086975232.000000
113.000000,4958177061326.000000
113.000000,4959013761638.000000
113.000000,4960011256898.000000
113.000000,4961078392210.000000
113.000000,4962179067105.000000
114.000000,4963079597313.000000
114.000000,4964112624032.000000
114.000000,4965046425958.000000
113.000000,4966078876791.000000
113.000000,4967045717156.000000
113.000000,4968077228718.000000
113.000000,4969010146113.000000
112.000000,4970109816009.000000
112.000000,4971111009550.000000
112.000000,4972013059706.000000
112.000000,4973080331007.000000
111.000000,4974078112413.000000
111.000000,4975076989184.000000
108.000000,4976089865329.000000
108.000000,4977081918818.000000
107.000000,4978083570797.000000
105.000000,4979043205432.000000
105.000000,4980077552567.000000
105.000000,4981180783765.000000
105.000000,4982017574806.000000
106.000000,4983883574285.000000
104.000000,4984955264076.000000
105.000000,4986058264180.000000
105.000000,4986925721367.000000
104.000000,4987928264804.000000
104.000000,4988928036210.000000
103.000000,4989991779907.000000
103.000000,4990992740792.000000
104.000000,4992025850688.000000
104.000000,4992931359333.000000
104.000000,4993991297302.000000
105.000000,4994926783603.000000
104.000000,4995958096415.000000
104.000000,4997027006050.000000
104.000000,4997959620790.000000
104.000000,4998993848966.000000
105.000000,4999957971153.000000
104.000000,5000925892976.000000
104.000000,5001888914903.000000
104.000000,5002991022350.000000
104.000000,5003997917610.000000
104.000000,5004956759277.000000
104.000000,5005956922766.000000
104.000000,5007152483234.000000
103.000000,5007924349848.000000
102.000000,5008962968181.000000
102.000000,5010122441827.000000
102.000000,5011032994587.000000
101.000000,5011979755836.000000
100.000000,5012927914482.000000
100.000000,5013957831773.000000
100.000000,5014923323700.000000
99.000000,5015990170262.000000
99.000000,5017031797657.000000
99.000000,5017996139376.000000
99.000000,5018966955313.000000
98.000000,5019927247604.000000
98.000000,5021090269427.000000
