x,time
2.000000,4674705373725.000000
2.000000,4675151261746.000000
2.000000,4675844741017.000000
2.000000,4676290480183.000000
2.000000,4676884175287.000000
2.000000,4677380077683.000000
2.000000,4677831661380.000000
2.000000,4678081349818.000000
2.000000,4678429052943.000000
2.000000,4679072518047.000000
2.000000,4679469640390.000000
2.000000,4680216074557.000000
2.000000,4680566101067.000000
2.000000,4681308442629.000000
2.000000,4681754300806.000000
2.000000,4682350578670.000000
2.000000,4682796783097.000000
2.000000,4683390595076.000000
2.000000,4683935699347.000000
2.000000,4685367957523.000000
2.000000,4685619313878.000000
2.000000,4685967298044.000000
2.000000,4686317530440.000000
2.000000,4686567764346.000000
2.000000,4686817068669.000000
2.000000,4687067630335.000000
2.000000,4687661229970.000000
2.000000,4687910143200.000000
2.000000,4688208064397.000000
2.000000,4688506135022.000000
2.000000,4688754998043.000000
2.000000,4689005057626.000000
2.000000,4689304182574.000000
2.000000,4689553370282.000000
2.000000,4689851402782.000000
2.000000,4690100662105.000000
2.000000,4690398706949.000000
2.000000,4690745648563.000000
2.000000,4691043332261.000000
2.000000,4691588368927.000000
2.000000,4692034541010.000000
2.000000,4692283518562.000000
2.000000,4692633476271.000000
2.000000,4693029811323.000000
2.000000,4693427717625.000000
2.000000,4693923178458.000000
2.000000,4694270103666.000000
2.000000,4694567756322.000000
2.000000,4694915268666.000000
2.000000,4695561024030.000000
2.000000,4696056230384.000000
2.000000,4696748890748.000000
2.000000,4697147007831.000000
2.000000,4697841361060.000000
2.000000,4698238508144.000000
2.000000,4698934007414.000000
2.000000,4699429959185.000000
2.000000,4699926382935.000000
2.000000,4700422038507.000000
2.000000,4700870333143.000000
2.000000,4701417257257.000000
2.000000,4702114928246.000000
2.000000,4703891687048.000000
2.000000,4704241231423.000000
2.000000,4706022806266.000000
2.000000,4706419666318.000000
2.000000,4706818137672.000000
2.000000,4708052621473.000000
2.000000,4708302382671.000000
2.000000,4709243603296.000000
2.000000,4709541581473.000000
2.000000,4710332385014.000000
2.000000,4710630836837.000000
2.000000,4711817026368.000000
2.000000,4712856032461.000000
2.000000,4714042766263.000000
2.000000,4714735326679.000000
2.000000,4714985732877.000000
2.000000,4715234037460.000000
2.000000,4718200321678.000000
2.000000,4718547533084.000000
2.000000,4719095693969.000000
2.000000,4719393703500.000000
2.000000,4724425384331.000000
2.000000,4725265577300.000000
2.000000,4726352091518.000000
2.000000,4726946888289.000000
2.000000,4727295665945.000000
2.000000,4727792559851.000000
2.000000,4729175068236.000000
2.000000,4729472863548.000000
2.000000,4730510411829.000000
2.000000,4731350670995.000000
2.000000,4731648505631.000000
2.000000,4732045751620.000000
2.000000,4732396305578.000000
2.000000,4732743940162.000000
2.000000,4733090991516.000000
2.000000,4733733917140.000000
2.000000,4734723700057.000000
2.000000,4735317891931.000000
2.000000,4735764237765.000000
2.000000,4737048117035.000000
2.000000,4737692041097.000000
2.000000,4737992681930.000000
2.000000,4738832823545.000000
2.000000,4739130972555.000000
2.000000,4739774885524.000000
2.000000,4740024350992.000000
2.000000,4740322540315.000000
2.000000,4740719010263.000000
2.000000,4741165749013.000000
2.000000,4742009685471.000000
2.000000,4742309528075.000000
2.000000,4742855799845.000000
2.000000,4743451554949.000000
2.000000,4743897998387.000000
2.000000,4744442778751.000000
2.000000,4744841500522.000000
2.000000,4745485603021.000000
2.000000,4745882868282.000000
2.000000,4746476657917.000000
2.000000,4746922724427.000000
2.000000,4747517194791.000000
2.000000,4748012204583.000000
2.000000,4748557234687.000000
2.000000,4749003088697.000000
2.000000,4749498884426.000000
2.000000,4749846194791.000000
2.000000,4750390771405.000000
2.000000,4750639679165.000000
2.000000,4751531461977.000000
2.000000,4752026543904.000000
2.000000,4752375574998.000000
2.000000,4752680356873.000000
2.000000,4753916298591.000000
2.000000,4754264447185.000000
2.000000,4754661470205.000000
2.000000,4755305405257.000000
2.000000,4755752606507.000000
2.000000,4756544387236.000000
2.000000,4756894793590.000000
2.000000,4757291994423.000000
2.000000,4757984555829.000000
2.000000,4758382471662.000000
2.000000,4759026972808.000000
2.000000,4759473464370.000000
2.000000,4759968635932.000000
2.000000,4760562731349.000000
2.000000,4761255629630.000000
2.000000,4761603041296.000000
2.000000,4762346662234.000000
2.000000,4762792769525.000000
2.000000,4763386612390.000000
2.000000,4763833133223.000000
2.000000,4764377987337.000000
2.000000,4764922182545.000000
2.000000,4765515815566.000000
2.000000,4766011448586.000000
2.000000,4766656094836.000000
2.000000,4767053072544.000000
2.000000,4767698483534.000000
2.000000,4768144876086.000000
2.000000,4768838052596.000000
2.000000,4769235582439.000000
2.000000,4769829344106.000000
2.000000,4770325375043.000000
2.000000,4771019249105.000000
2.000000,4771416186657.000000
2.000000,4771960762803.000000
2.000000,4772455926188.000000
2.000000,4773099857855.000000
2.000000,4773448540615.000000
2.000000,4774191619729.000000
2.000000,4774539680771.000000
2.000000,4775281788687.000000
2.000000,4775629711656.000000
2.000000,4776568736551.000000
2.000000,4777867159832.000000
2.000000,4779151682488.000000
2.000000,4779499110925.000000
2.000000,4780736637018.000000
2.000000,4781035168945.000000
2.000000,4781629264883.000000
2.000000,4782329815664.000000
2.000000,4782578456757.000000
2.000000,4783321038007.000000
2.000000,4783570267121.000000
2.000000,4784115783580.000000
2.000000,4784759087954.000000
2.000000,4785156389985.000000
2.000000,4785799740454.000000
2.000000,4786491950245.000000
2.000000,4786741485037.000000
2.000000,4787334973057.000000
2.000000,4787781411234.000000
2.000000,4788030327745.000000
2.000000,4788378532276.000000
2.000000,4788827568474.000000
2.000000,4789619641494.000000
2.000000,4789917616390.000000
2.000000,4790708371337.000000
2.000000,4790957113212.000000
2.000000,4791747872639.000000
2.000000,4791997950452.000000
2.000000,4792543216493.000000
2.000000,4793088801962.000000
2.000000,4793535723316.000000
2.000000,4794129425399.000000
2.000000,4794673858159.000000
2.000000,4795169193471.000000
2.000000,4795417645815.000000
2.000000,4795715417638.000000
2.000000,4796261538002.000000
2.000000,4796757264929.000000
2.000000,4797301629043.000000
2.000000,4797897038783.000000
2.000000,4798343704355.000000
2.000000,4798987506491.000000
2.000000,4799483325397.000000
2.000000,4799978803573.000000
2.000000,4800524300188.000000
2.000000,4801117952063.000000
2.000000,4801714258573.000000
2.000000,4802111653469.000000
2.000000,4802658930552.000000
2.000000,4803254311645.000000
2.000000,4803553504770.000000
2.000000,4803851211645.000000
2.000000,4804247571384.000000
2.000000,4804743788051.000000
2.000000,4805387122165.000000
2.000000,4805934628727.000000
2.000000,4806480228259.000000
2.000000,4807133215915.000000
2.000000,4807529579144.000000
2.000000,4809603717268.000000
2.000000,4810100199299.000000
2.000000,4810842251017.000000
2.000000,4811633674871.000000
2.000000,4813758430599.000000
2.000000,4814943806016.000000
2.000000,4816376460494.000000
2.000000,4816970009036.000000
2.000000,4817415826536.000000
2.000000,4817713438254.000000
2.000000,4818011824400.000000
2.000000,4819549840337.000000
2.000000,4820686045441.000000
2.000000,4821824156951.000000
2.000000,4822516689242.000000
2.000000,4822765352315.000000
2.000000,4824000602939.000000
2.000000,4824496671950.000000
2.000000,4825041800804.000000
2.000000,4825538124345.000000
2.000000,4826182104918.000000
2.000000,4826529459970.000000
2.000000,4827666130178.000000
2.000000,4828308916167.000000
2.000000,4829396458927.000000
2.000000,4829798059500.000000
2.000000,4830097917156.000000
2.000000,4830593948770.000000
2.000000,4830893926062.000000
2.000000,4831191987259.000000
2.000000,4831442342364.000000
2.000000,4831838962832.000000
2.000000,4832334981947.000000
2.000000,4832587010644.000000
2.000000,4832837573301.000000
2.000000,4833334350071.000000
2.000000,4833632235279.000000
2.000000,4833881803925.000000
2.000000,4834477714342.000000
2.000000,4834826385175.000000
2.000000,4835321498508.000000
2.000000,4835965090904.000000
2.000000,4836609350591.000000
2.000000,4837006397309.000000
2.000000,4837501493038.000000
2.000000,4838096187413.000000
2.000000,4838541879028.000000
2.000000,4839184896840.000000
2.000000,4839581495642.000000
2.000000,4840916193037.000000
2.000000,4841215697724.000000
2.000000,4842795591578.000000
2.000000,4844968850952.000000
2.000000,4845662464233.000000
2.000000,4847441132514.000000
2.000000,4847788462045.000000
2.000000,4848286630847.000000
2.000000,4848881349284.000000
2.000000,4849968567773.000000
2.000000,4850465758554.000000
2.000000,4850913927981.000000
2.000000,4851168479700.000000
2.000000,4851519320012.000000
2.000000,4852167421262.000000
2.000000,4852514521574.000000
2.000000,4853158374334.000000
2.000000,4853951792042.000000
2.000000,4854400469751.000000
2.000000,4855191606417.000000
2.000000,4855489559906.000000
2.000000,4855984834125.000000
2.000000,4856480817458.000000
2.000000,4861759313862.000000
2.000000,4862600082039.000000
2.000000,4863591162716.000000
2.000000,4864041591153.000000
2.000000,4865968037611.000000
2.000000,4867104732090.000000
2.000000,4867994590943.000000
2.000000,4868243083079.000000
2.000000,4868787468026.000000
2.000000,4869874815161.000000
2.000000,4870123387036.000000
2.000000,4870815615109.000000
2.000000,4871114884484.000000
2.000000,4871856445577.000000
2.000000,4872204660317.000000
2.000000,4872453969067.000000
2.000000,4872752410004.000000
2.000000,4873396109483.000000
2.000000,4873793469535.000000
2.000000,4874978955524.000000
2.000000,4875375641253.000000
2.000000,4875674099951.000000
2.000000,4875972800888.000000
2.000000,4876221321409.000000
2.000000,4876470533388.000000
2.000000,4876768972190.000000
2.000000,4877905261096.000000
2.000000,4879189245106.000000
2.000000,4879980529272.000000
2.000000,4881019111928.000000
2.000000,4881416026199.000000
